"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"4:00 PM EET on March 01, 2016","2016","03","01","16","00","Europe/Kiev","2:00 PM GMT on March 01, 2016","2016","03","01","14","00","UTC","7.0","44.6","7.0","44.6","100","21.6","13.4","-9999.0","-9999.0","130","SE","2.1","1.3","1006","29.71","3.4","38.2","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011400Z 13006MPS 2100 -RA BR BKN004 OVC010 07/07 Q1006 R08/290253 TEMPO 1700 BR BKN002"
"4:30 PM EET on March 01, 2016","2016","03","01","16","30","Europe/Kiev","2:30 PM GMT on March 01, 2016","2016","03","01","14","30","UTC","7.0","44.6","7.0","44.6","100","18.0","11.2","-9999.0","-9999.0","140","SE","1.8","1.1","1006","29.71","3.8","38.9","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011430Z 14005MPS 100V180 1800 -RA BR BKN003 OVC020 07/07 Q1006 R08/290253 TEMPO 1500 BR BKN002"
"5:00 PM EET on March 01, 2016","2016","03","01","17","00","Europe/Kiev","3:00 PM GMT on March 01, 2016","2016","03","01","15","00","UTC","6","44","6","44","98","14.4","8.9","","","170","South","0.5","0","1007","29.73","-999","-999","-9999","-9999","","","Light Rain","rain","0","1","0","0","0","0","AAXX 01151 33345 41/93 91704 10065 20065 39864 40067 57027 76164 555 11006"
"5:00 PM EET on March 01, 2016","2016","03","01","17","00","Europe/Kiev","3:00 PM GMT on March 01, 2016","2016","03","01","15","00","UTC","7.0","44.6","7.0","44.6","100","10.8","6.7","-9999.0","-9999.0","150","SSE","1.9","1.2","1006","29.71","4.9","40.8","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011500Z 15003MPS 110V200 1900 -RA BR BKN003 OVC020 07/07 Q1006 R08/290350 TEMPO 1500 BR BKN002"
"5:30 PM EET on March 01, 2016","2016","03","01","17","30","Europe/Kiev","3:30 PM GMT on March 01, 2016","2016","03","01","15","30","UTC","7.0","44.6","7.0","44.6","100","10.8","6.7","-9999.0","-9999.0","170","South","-9999.0","-9999.0","1006","29.71","4.9","40.8","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011530Z 17003MPS 120V230 3400 -RA BR BKN004 OVC020 07/07 Q1006 R08/290350 TEMPO 1500 BR BKN002"
"6:00 PM EET on March 01, 2016","2016","03","01","18","00","Europe/Kiev","4:00 PM GMT on March 01, 2016","2016","03","01","16","00","UTC","8.0","46.4","8.0","46.4","100","10.8","6.7","-9999.0","-9999.0","200","SSW","5.0","3.1","1005","29.68","6.1","43.0","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011600Z 20003MPS 160V240 5000 -RA BR BKN008 OVC023 08/08 Q1005 R08/290350 NOSIG"
"6:30 PM EET on March 01, 2016","2016","03","01","18","30","Europe/Kiev","4:30 PM GMT on March 01, 2016","2016","03","01","16","30","UTC","9.0","48.2","8.0","46.4","93","14.4","8.9","-9999.0","-9999.0","210","SSW","9.0","5.6","1005","29.68","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 011630Z 21004MPS 180V250 9000 OVC011 09/08 Q1005 R08/290350 NOSIG"
"7:00 PM EET on March 01, 2016","2016","03","01","19","00","Europe/Kiev","5:00 PM GMT on March 01, 2016","2016","03","01","17","00","UTC","9.0","48.2","8.0","46.4","93","10.8","6.7","-9999.0","-9999.0","210","SSW","9.0","5.6","1006","29.71","-999","-999","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 011700Z 21003MPS 170V250 9000 OVC009 09/08 Q1006 R08/290350 NOSIG"
"7:30 PM EET on March 01, 2016","2016","03","01","19","30","Europe/Kiev","5:30 PM GMT on March 01, 2016","2016","03","01","17","30","UTC","8.0","46.4","8.0","46.4","100","10.8","6.7","-9999.0","-9999.0","200","SSW","9.0","5.6","1006","29.71","6.1","43.0","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011730Z 20003MPS 170V260 9000 -RA BKN009 OVC038 08/08 Q1006 R08/290350 NOSIG"
"8:00 PM EET on March 01, 2016","2016","03","01","20","00","Europe/Kiev","6:00 PM GMT on March 01, 2016","2016","03","01","18","00","UTC","8","46","8","46","98","10.8","6.7","","","200","SSW","4","2","1006","29.71","-999","-999","-9999","-9999","","","Mist","hazy","0","0","0","0","0","0","AAXX 01181 33345 11496 82003 10080 20076 39859 40060 57005 60072 71064 886// 333 10080 88711 555 11006"
